Landkreis;Gemeinde;Ortsteil;Haltestelle;Haltestelle_lang;HalteBeschreibung;globaleID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Bad Teinach-Zavelstein;Bad Teinach;Bhf. Bad Teinach/Neub.;Bhf. Bad Teinach/Neub.;;de:08235:7190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Bad Wildbad im Schwarzwald;Bad Wildbad;Bahnhof Bad Wildbad;Bad Wildbad, Bhf;;de:08235:8960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Calw;Hirsau;Bahnhof;Hirsau, Bahnhof;;de:08235:9020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Calw;Calw;ZOB Calw;Calw, ZOB;;de:08235:9030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Höfen a.d.Enz;Höfen (Enz);Bahnhof;Höfen, Bahnhof;;de:08235:8940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Nagold;Nagold;Nagold;Nagold, Bahnhof;;de:08235:10168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Nagold;Hochdorf (b Horb);Bahnhof;Hochdorf, Bahnhof;;de:08235:9070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Unterreichenbach;Unterreichenbach(CW);Bahnhof;Unterreichenbach, Bahnhof;;de:08235:9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Wildberg;Wildberg (Württ);Bahnhof;Wildberg, Bahnhof;;de:08235:9050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Bahlingen;Bahlingen (Baden);Bahnhof;Bahlingen Bahnhof;;de:08316:6687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Bahlingen;Bahlingen (Baden);Riedlen;Bahlingen Riedlen;;de:08316:6715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Denzlingen;Denzlingen;Bahnhof;Denzlingen Bahnhof;;de:08316:6505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Elzach;Elzach;Bahnhof;Elzach Bahnhof;;de:08316:6507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Emmendingen;Kollmarsreute;Bahnhof;Kollmarsreute Bahnhof;;de:08316:6667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Emmendingen;Mundingen (Breisgau);Bahnhof;Teningen-Mundingen Bahnhof;;de:08316:729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Endingen;Königschaffhausen;Bahnhof Königschaffhausen;Königschaffhausen Bahnhof;;de:08316:6671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Endingen;Endingen (Baden);Bahnhof;Endingen a K Bahnhof;;de:08316:6688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Gutach im Breisgau;Bleibach;Bahnhof;Bleibach Bahnhof;;de:08316:6503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Gutach im Breisgau;Gutach im Breisgau;Bahnhof;Gutach (Brsg) Bahnhof;;de:08316:6515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Herbolzheim;Herbolzheim (Brsg);Bahnhof;Herbolzheim (Brsg) Bahnhof;;de:08316:6562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Kenzingen;Kenzingen;Bahnhof;Kenzingen Bahnhof;;de:08316:6518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Riegel;Riegel (Kaiserstuhl);Riegel-Malterdingen;Riegel-Malterdingen;;de:08316:5290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Riegel;Riegel (Kaiserstuhl);Riegel a K Ort;Riegel a K Ort;;de:08316:6676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Sasbach;Sasbach (Rhein);Bahnhof;Sasbach a K Bahnhof;;de:08316:6672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Sasbach;Jechtingen;Bahnhof;Jechtingen Bahnhof;;de:08316:6673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Teningen;Nimburg;Bahnhof;Nimburg Bahnhof;;de:08316:509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Teningen;Köndringen;Bahnhof;Köndringen Bahnhof;;de:08316:6668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Waldkirch;Waldkirch (Breisgau);Bahnhof;Waldkirch (Brsg) Bahnhof;;de:08316:6530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Waldkirch;Batzenhäusle;Bahnhof;Batzenhäusle Bahnhof;;de:08316:6531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
