ID;HST_DHID;HST_Name;Datenquelle;Datenstatus;Longitude;Latitude;Koordindatenquelle;OSM_ID;Sitzplätze;Unterstand;RollstuhlflächeImUnterstand;Fahrplananzeigetafel;Fahrplananzeigetafel_akustisch;Ansagen_vorhanden;Defibrillator;Defibrillator_Lagebeschreibung;Gepäckaufbewahrung;Gepäcktransport;InduktiveHöranlage;InduktiveHöranlageStandort;InfoNotrufsäule;Bahnhofsmission;HaltestelleTotale_Foto;SitzeOderUnterstand_Foto;SitzeOderUnterstandUmgebung_Foto;Fahrplananzeigetafel_Foto;Defibrillator_Foto;Gepäckaufbewahrung_Foto;InfoNotrufsäule_Foto;Bahnhofsmision_Foto;BahnhofsmissionWeg_Foto;BahnhofsmissionÖffnungszeiten_Foto;WeitereBilder1_Foto;WeitereBilder2_Foto;WeitereBilder3_Foto
de:08121:2000;de:08121:2000;Berufsschulzentrum;NVBW;Rohdaten;9,1819859;49,1403353;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08121:2000/d4a395cd-4f41-4620-8bbe-8b11596659c1.jpg;;;;;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08121:2000/03074986-0167-4f14-884f-5623da04dfb2.jpg;;
de:08336:6601;de:08336:6601;Bahnhof (Schopfheim);NVBW;Rohdaten;7,821703;47,6475637;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08336:6601/36afb079-c4c2-44d4-9d3b-abaf20e49dde.jpg;;;;;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08336:6601/83cdc36a-68c1-45fd-94ca-ceba30fb2557.jpg;;
de:08136:5113;de:08136:5113;Bahnhof (Oberkochen);NVBW;Rohdaten;10,1074213;48,7824262;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:5113/9e2040df-db38-4ae5-8ee4-09c5bdbc9e46.jpg;;;;;;;;;;;;
de:08226:574;de:08226:574;Bahnhof (Lindach (Baden));NVBW;Rohdaten;9,0064641;49,4169178;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08226:574/860e983a-ba20-4458-91b5-681cb69a6408.jpg;;;;;;;;;;;;
de:08128:12005;de:08128:12005;Bahnhof (Bad Mergentheim);NVBW;Rohdaten;9,771658;49,4936477;Haltestelle-Sollposition;;nein;nein;;ja;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08436:8159;de:08436:8159;Weingarten-Berg BOB-Bahnhof;NVBW;Rohdaten;9,6167615;47,8169639;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08436:8159/82fb5162-7436-4db1-8e61-fb35c5dd7bd4.jpg;;;;;;;;;;;;
de:08111:1403;de:08111:1403;Neuwirtsh. (Porschep.);NVBW;Rohdaten;9,1521596;48,833748;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08326:6752;de:08326:6752;Marbach Ost (Zug);NVBW;Rohdaten;8,4760538;48,033621;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08226:710;de:08226:710;Bahnhof (Eschelbronn);NVBW;Rohdaten;8,8677911;49,3239806;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08226:710/a01002cb-19aa-4341-9ee0-b43180820504.jpg;;;;;;;;;;;;
de:08136:5301;de:08136:5301;Pflaumloch Bahnhof;NVBW;Rohdaten;10,437112;48,849227;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:5301/1b28745d-f6f8-4b28-a160-ff9bc526d814.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:5301/a26ebbfe-7a39-4856-a798-2ad484523cbb.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:5301/3044a212-7acf-4745-818b-9efa3f61a117.jpg;;;;;;;;;;
